Party,Base year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Last Inventory Year (2016),Change from base year to latest reported year
Greece,"100,982.34","100,982.34","100,856.75","102,034.09","101,162.53","104,215.42","106,281.37","110,005.31","115,269.44","121,055.37","120,444.59","124,410.38","124,991.99","124,628.52","128,632.18","129,357.93","133,002.95","129,094.47","133,537.54","128,738.08","121,434.01","115,325.27","112,260.90","108,996.12","100,923.38","98,957.33","91,618.34","88,298.58",-12.56%
Hungary,"107,681.55","91,278.00","85,226.16","74,567.50","73,043.76","71,117.97","70,021.80","76,029.85","74,181.56","72,489.83","75,180.84","72,985.72","73,522.84","72,436.39","73,073.41","73,011.72","70,412.11","71,462.08","69,366.57","65,966.47","61,336.41","61,331.19","60,168.45","55,686.54","53,878.73","53,078.27","55,653.63","57,196.74",-46.88%
Iceland,"13,727.29","13,727.29","13,509.74","13,405.29","13,478.38","13,398.22","13,494.65","13,543.50","13,715.93","13,886.76","14,123.97","14,156.43","14,070.06","14,167.99","14,150.14","14,252.29","14,121.67","14,791.78","15,146.55","15,584.58","15,300.58","15,162.47","14,882.52","14,919.82","14,915.62","14,936.22","14,996.21","14,891.39",8.48%
Ireland,"61,781.89","61,781.89","62,335.88","61,897.89","61,505.40","63,341.46","65,392.84","67,463.88","67,631.55","70,186.75","71,229.11","74,825.76","77,362.88","75,574.31","75,842.26","73,407.92","75,680.26","75,851.52","73,341.91","71,738.46","65,526.17","66,287.34","62,052.07","63,403.04","62,781.06","62,617.54","64,543.44","66,541.36",7.70%
Italy,"515,320.53","515,320.53","502,825.45","502,701.67","509,800.28","490,383.70","511,065.96","502,855.13","518,950.28","532,639.02","528,560.78","538,809.50","537,747.63","532,535.71","555,265.34","553,772.95","553,342.55","541,685.48","556,654.56","523,946.29","469,749.06","473,349.18","466,328.89","453,846.14","408,291.34","391,851.77","397,552.11","397,935.13",-22.78%
Japan,"1,204,248.49","1,204,248.49","1,210,202.09","1,219,990.36","1,209,755.33","1,274,472.66","1,294,880.30","1,302,774.19","1,292,967.47","1,243,069.92","1,265,837.67","1,284,422.89","1,258,289.04","1,280,670.35","1,276,389.21","1,272,159.24","1,284,084.88","1,267,037.93","1,308,337.24","1,248,841.62","1,178,081.11","1,230,487.98","1,280,759.19","1,320,268.62","1,340,478.20","1,294,689.83","1,260,746.74","1,247,796.67",3.62%
Kazakhstan,"381,037.99","381,037.99","372,508.60","351,094.02","319,546.69","277,380.32","264,477.79","241,396.01","229,173.66","221,208.27","188,495.97","218,427.98","178,832.89","197,118.51","218,706.89","227,235.00","240,903.23","267,260.04","276,807.31","280,556.26","275,373.71","307,387.41","299,469.91","306,961.75","314,842.89","333,185.75","341,128.68","348,130.69",-8.64%
Latvia,"15,732.88","15,732.88","13,323.62","7,324.56","4,752.53",-77.83,-423.01,-699.14,568.97,"1,022.63","3,787.90",871.94,565.83,"2,065.25","2,835.25","6,609.51","7,206.38","6,588.55","7,020.97","5,984.91","7,836.96","11,016.76","10,059.07","7,717.21","8,280.29","12,515.74","12,020.18","10,363.42",-34.13%
Liechtenstein,234.8,234.8,226.18,237.53,241.32,247.52,237.58,231.62,255.75,258.83,254.73,271.63,247.51,254.84,269.19,272.09,272.94,281.1,261.32,283.61,265.76,249.42,240.24,249.7,248.58,216.73,208.43,196.01,-16.52%
Lithuania,"43,046.21","43,046.21","45,005.51","26,115.46","19,043.18","18,148.83","18,377.00","24,605.59","23,054.55","16,640.70","14,730.67","10,912.50","13,728.87","15,139.42","15,703.95","17,206.76","19,090.91","21,122.68","21,413.18","19,853.89","14,237.92","11,726.57","12,473.16","12,973.24","12,431.48","13,633.01","14,031.08","11,638.21",-72.96%
Luxembourg,"12,834.30","12,834.30","13,189.18","12,608.61","12,650.78","12,002.58","9,528.33","9,547.78","8,818.49","8,054.98","8,419.04","8,964.66","9,439.62","10,214.78","10,690.66","12,078.80","12,373.39","12,284.39","11,783.21","11,650.15","11,131.29","12,021.08","11,781.87","11,414.11","10,698.63","10,319.35","9,880.84","9,550.68",-25.58%
Malta,"2,105.03","2,105.03","2,282.61","2,500.75","2,521.20","2,696.21","2,697.41","2,671.90","2,724.84","2,734.28","2,792.19","2,813.68","2,717.65","2,701.63","2,928.94","2,846.33","2,980.22","3,039.49","3,140.55","3,140.65","2,933.45","2,969.77","3,042.84","3,224.29","2,893.56","2,911.60","2,228.32","1,913.16",-9.11%
Monaco,99.7,99.7,100.71,106.27,105.26,106.12,103.55,107.64,105.62,104.85,106.44,107.51,105.5,105.59,103.26,99.06,97.7,90.84,94.36,91.47,86.48,85.81,82.85,86.78,87.2,79.87,82.21,78.61,-21.16%
Netherlands,"226,658.04","226,658.04","234,398.48","235,135.82","235,964.89","236,911.15","236,989.62","248,059.16","240,220.84","240,370.54","227,006.36","225,121.89","225,683.81","223,950.91","224,566.18","225,751.67","220,047.55","214,979.68","213,492.91","212,776.32","207,310.22","219,302.38","205,274.03","200,474.73","200,802.20","192,881.72","201,209.19","201,709.60",-11.01%
New Zealand,"36,275.29","36,275.29","34,335.13","35,247.69","34,264.58","35,926.63","38,423.71","41,216.17","43,301.33","40,684.47","40,961.65","44,012.33","47,263.70","50,557.07","52,370.75","52,176.11","55,551.16","57,595.65","56,923.21","48,374.75","47,834.26","47,604.92","51,852.63","55,025.93","55,293.75","56,003.81","55,841.93","55,953.26",54.25%
Norway,"41,332.60","41,332.60","36,679.39","34,631.48","36,344.08","37,942.33","36,200.95","37,808.96","37,843.32","34,943.94","33,355.29","30,389.36","29,777.68","27,789.16","26,881.69","28,324.65","30,207.43","26,947.89","30,290.75","27,927.93","22,309.27","28,700.80","26,193.54","29,212.76","27,607.40","28,686.89","30,102.43","28,886.59",-30.11%
Poland,"555,299.77","441,038.99","436,586.20","444,789.14","438,834.35","432,654.26","423,330.67","418,350.85","409,668.99","372,449.18","364,797.11","357,535.52","365,083.63","345,605.07","356,570.79","350,225.46","351,586.07","372,729.88","379,426.95","372,637.17","357,027.64","376,443.95","369,016.21","362,372.96","356,887.96","352,705.72","359,053.42","369,043.99",-33.54%
Portugal,"60,980.06","60,980.06","62,710.37","62,764.70","60,322.64","60,556.79","65,572.83","59,761.33","62,176.59","68,847.59","75,523.97","77,463.43","74,146.53","78,688.79","84,283.70","77,703.86","88,326.32","73,813.63","67,652.41","63,494.25","60,468.97","59,032.37","57,771.78","58,374.80","57,205.16","55,426.91","60,947.21","62,226.95",2.04%
Romania,"286,311.04","228,256.73","184,569.19","167,508.53","156,440.65","154,196.92","161,875.87","165,736.27","160,013.33","139,588.13","122,139.79","126,244.84","128,719.50","132,459.68","137,645.82","136,858.35","133,874.96","135,621.04","139,809.77","134,256.53","113,475.47","106,293.64","111,216.85","106,160.35","95,823.41","96,043.80","98,733.10","93,939.45",-67.19%
