Date,Open,High,Low,Close,Adj Close,Volume,
13/08/2018,121.690002,122.849998,121.510002,122.480003,120.350174,548188,
14/08/2018,123,123.989998,122.919998,123.989998,121.833916,759074,
15/08/2018,124.739998,125.5,123.800003,125.5,123.317657,596153,
16/08/2018,125.5,126,123.129997,124.739998,122.570869,768651,
17/08/2018,123.5,124.800003,123.07,124.559998,122.394005,613365,
20/08/2018,125.239998,125.540001,123.809998,124.57,122.403831,572018,
21/08/2018,124.870003,124.980003,123.809998,124.739998,122.570869,517070,
22/08/2018,123.870003,124.599998,123.510002,124.300003,122.138527,384982,
23/08/2018,124,124.519997,123.25,123.949997,121.794609,675881,
24/08/2018,124.580002,126.150002,124.334999,125.32,123.140785,659825,
27/08/2018,125,125.910004,124.32,125.449997,123.268524,310214,
28/08/2018,125.599998,126.779999,124.559998,124.559998,122.394005,621420,
29/08/2018,124.389999,126.139999,124.370003,126.120003,123.92688,846508,
30/08/2018,126.669998,128.660004,125.5,128.460007,126.226196,931212,
31/08/2018,128.550003,129.75,128.490005,129.399994,127.149834,1677505,
03/09/2018,129.869995,129.869995,128.820007,129.350006,127.100716,384498,
04/09/2018,129,129.199997,127.900002,128.369995,126.137749,384840,
05/09/2018,127.650002,128.289993,127.330002,127.559998,125.341835,468822,
06/09/2018,126,126.599998,124.300003,124.519997,122.354698,796067,
07/09/2018,122.779999,123.540001,121.699997,122.68,120.5467,790684,
10/09/2018,122,122.919998,121.550003,122.639999,120.507393,584503,
11/09/2018,123.220001,125.269997,123.220001,124.870003,122.698616,790967,
12/09/2018,125.5,126.709999,125.169998,126.510002,124.310097,708464,
13/09/2018,125.839996,125.839996,123.620003,123.839996,121.686523,738996,
14/09/2018,123.839996,124.889999,123.589996,124.43,122.266266,678448,
17/09/2018,124.290001,125.5,123.400002,125.099998,122.924614,600026,
18/09/2018,124.370003,125.400002,124.074997,124.220001,122.059921,584489,
19/09/2018,124.550003,126.089996,124.309998,125.980003,123.789314,627331,
20/09/2018,125.169998,127.389999,124.629997,126.610001,124.408356,1292835,
21/09/2018,127.5,128.220001,127.169998,127.849998,125.626793,1543883,
24/09/2018,127.330002,127.449997,126.419998,126.879997,124.67366,693542,
25/09/2018,126.5,127.699997,126.209999,127.650002,125.430275,629173,
26/09/2018,127.18,127.629997,126.110001,126.889999,124.683487,638251,
27/09/2018,128.100006,128.509995,127.089996,127.75,125.528534,719174,
28/09/2018,128.300003,129,126.040001,126.040001,123.848267,1771784,
01/10/2018,125,126,123.620003,124.57,122.403831,543547,
02/10/2018,125,125.760002,122.199997,122.629997,120.497559,832827,
03/10/2018,122.610001,123.800003,121.949997,122.379997,120.251907,583949,
04/10/2018,122.629997,124.059998,122.610001,123.690002,121.539131,755251,
05/10/2018,122.849998,125.879997,122.800003,125.269997,123.091652,829279,
07/10/2018,123.419998,124.190002,123.089996,123.720001,121.568611,942959,
08/10/2018,123.400002,124.150002,122.389999,122.559998,120.42878,1152181,
09/10/2018,122.5,123,121.769997,122.910004,120.772697,594479,
10/10/2018,118.019997,119.529999,115.489998,115.489998,113.48172,2007983,
11/10/2018,112.599998,115.720001,112.330002,115.529999,113.521027,1935320,
14/10/2018,115,115.050003,112.330002,114.830002,112.833206,835934,
15/10/2018,114.449997,115.300003,113.830002,114.449997,112.459808,876087,
16/10/2018,117.800003,118.449997,116.690002,117.360001,115.319206,880624,
17/10/2018,118.910004,118.919998,115.269997,116.279999,114.257988,931859,
18/10/2018,114.5,116.870003,114.099998,116.870003,114.83773,753192,
21/10/2018,115.800003,116.269997,114.190002,114.959999,112.960938,935263,
22/10/2018,114.800003,115.989998,113.849998,113.900002,111.919373,997464,
23/10/2018,113.639999,114.739998,113.309998,113.730003,111.752335,746159,
24/10/2018,111.860001,112.760002,110.129997,110.129997,108.214928,1389435,
25/10/2018,111.550003,113.089996,110.279999,111.169998,109.236847,2000604,
28/10/2018,111.870003,113.07,111.410004,112.809998,110.848328,618467,
29/10/2018,112.339996,115.389999,112.07,115.309998,113.304848,958863,
30/10/2018,117,117.660004,115.910004,117.199997,115.161987,1339139,
31/10/2018,116.510002,117.879997,116.339996,117.870003,115.820343,1119055,
01/11/2018,121,122.620003,119.559998,122.419998,120.291214,2097747,
04/11/2018,124,124.470001,121.720001,121.720001,119.603394,962633,
05/11/2018,121.220001,121.809998,120.589996,121.5,119.387215,615454,
06/11/2018,121.120003,122.099998,119.57,120.809998,118.709213,966684,
07/11/2018,121.25,123.330002,121.25,123.089996,120.949562,975108,
08/11/2018,122.230003,124.699997,122.150002,123.639999,121.489998,825766,
11/11/2018,121.019997,122.389999,121.019997,122.029999,122.029999,1192639,
12/11/2018,120.239998,120.790001,118.82,119.43,119.43,840408,
13/11/2018,119.360001,120.235001,118.25,118.75,118.75,1681856,
14/11/2018,118.989998,119.18,117.849998,118.809998,118.809998,862201,
15/11/2018,122.790001,122.860001,118.849998,119,119,696777,
18/11/2018,117.360001,118.68,115.760002,116.230003,116.230003,877712,
19/11/2018,116.010002,116.5,114.389999,114.93,114.93,972155,
20/11/2018,112.769997,113.269997,111.690002,112.769997,112.769997,1175503,
21/11/2018,113,114.199997,112.449997,114.199997,114.199997,807272,
22/11/2018,114.139999,115.290001,113.650002,114.529999,114.529999,522888,
25/11/2018,113.209999,114.589996,112.599998,113.459999,113.459999,697164,
26/11/2018,113.519997,115.18,113.5,114.989998,114.989998,784533,
27/11/2018,115.489998,115.760002,114.68,115.040001,115.040001,635946,
28/11/2018,115.769997,117.25,115.769997,116.809998,116.809998,982203,
29/11/2018,116.099998,116.220001,114.080002,114.419998,114.419998,2105958,
02/12/2018,116.349998,118.059998,116,117.610001,117.610001,714498,
03/12/2018,118,118.449997,116.349998,116.349998,116.349998,808495,
04/12/2018,114.419998,114.419998,111.650002,113.410004,113.410004,1150821,
05/12/2018,112.900002,113.589996,111.32,112.050003,112.050003,1029658,
06/12/2018,114.5,114.779999,112.720001,113.32,113.32,815670,
09/12/2018,111.739998,112.309998,109.544998,109.889999,109.889999,1034484,
10/12/2018,110.209999,111.599998,109.120003,109.769997,109.769997,711080,
